,open,high,low,close,volume
2022-02-03,69.1000,70.4500,69.1000,69.6900,2636950
2022-02-04,70.3800,70.3800,67.2500,67.8300,3544933
2022-02-07,68.3200,68.6500,67.5600,67.5600,2619261
2022-02-08,67.4500,68.9500,66.7300,67.5600,2866739
2022-02-09,68.4000,70.9600,68.2700,70.5400,4477504
2022-02-10,70.5400,70.6500,69.2000,69.7500,2499973
2022-02-11,69.0100,75.3600,68.6500,74.4400,7685106
2022-02-14,71.9700,74.9800,71.7400,74.3100,6449171
2022-02-15,74.1500,75.4600,73.4500,75.3800,4255754
2022-02-16,75.4900,77.4200,75.2000,75.8200,3338076
2022-02-17,76.9400,77.9000,75.4700,76.0600,3129408
2022-02-18,76.5100,77.6500,75.2500,75.5900,2876383
2022-02-21,76.6400,77.0700,73.8100,74.0300,3466863
2022-02-22,71.4800,74.2100,71.1000,73.2200,3938250
2022-02-23,74.3000,75.2500,72.9400,73.5700,3345429
2022-02-24,69.0000,71.3300,67.8500,68.7900,8297015
2022-02-25,70.4600,72.1000,68.3500,72.0600,6292551
2022-02-28,69.9000,70.6000,68.1700,70.1700,5868911
2022-03-01,69.5000,70.4900,66.3200,66.4400,6811103
2022-03-02,65.2000,65.3300,63.0500,64.0600,8133642
2022-03-03,64.0000,64.4100,60.0000,60.2100,6123312
2022-03-04,58.8500,60.0900,56.8100,58.0000,9611532
2022-03-07,55.2200,59.4500,54.6700,57.3900,8645172
2022-03-08,56.4400,58.7000,56.4300,57.0000,6732058
2022-03-09,59.1400,61.3600,58.1500,61.3600,6946066
2022-03-10,61.3600,61.8100,57.3300,59.0900,6757062
2022-03-11,59.3600,61.6200,58.0600,58.5900,6157828
2022-03-14,60.1600,61.4800,59.6800,60.7600,4719598
2022-03-15,60.3900,62.8500,59.2300,62.1400,5067779
2022-03-16,64.3100,66.0800,63.2500,65.2600,6129054
2022-03-17,65.8000,65.9100,63.4900,64.0000,4486444
2022-03-18,63.8700,64.9800,62.2100,62.6300,8469566
2022-03-21,63.0200,63.9200,62.5300,63.3200,2621597
2022-03-22,63.7800,64.9300,63.1000,64.1600,3027640
2022-03-23,64.7200,64.8300,62.7800,63.3200,2832496
2022-03-24,63.3500,64.3300,62.4700,63.1200,2963436
2022-03-25,63.3200,64.1000,62.5100,63.2100,2499241
2022-03-28,63.3900,65.2300,63.3000,63.9100,2760387
2022-03-29,65.1100,68.1600,64.6600,66.8500,4830793
2022-03-30,66.4300,66.9300,64.9500,65.3500,3326372
2022-03-31,65.8000,65.9700,63.4000,63.8100,4179264
2022-04-01,64.0100,64.7600,63.3100,63.4900,2848350
2022-04-04,63.9900,64.5400,62.8100,64.2600,2538008
2022-04-05,64.4900,64.8200,62.6200,62.9600,3425810
2022-04-06,62.7000,62.9500,60.6200,62.2300,4539402
2022-04-07,62.4400,63.2800,62.0800,62.2800,2920342
2022-04-08,63.4600,64.1400,62.6700,63.2200,2477629
2022-04-11,62.5500,62.7400,61.5200,62.3900,3274607
2022-04-12,61.5000,63.1500,60.8000,62.5000,2791096
2022-04-13,62.2800,63.3600,61.8800,62.8600,2297064
2022-04-14,63.2000,63.9600,62.8200,63.3200,3459542
2022-04-19,63.4000,64.6400,63.0100,64.2800,2834276
2022-04-20,64.8900,66.2000,64.5300,65.3500,3107995
2022-04-21,65.6200,66.6600,65.1300,65.8500,3029738
2022-04-22,65.1000,65.8700,64.7300,64.7300,3535982
2022-04-25,63.7300,64.4000,62.9600,63.8300,4119685
2022-04-26,64.9100,65.1200,62.8100,62.9100,4784384
2022-04-27,63.7900,65.5000,62.5300,63.8800,5329559
2022-04-28,65.0000,66.8800,64.8800,66.5100,5497785
2022-04-29,67.1000,67.5300,66.4300,67.1000,6141085
2022-05-02,61.7900,63.1200,61.7600,62.2200,4880723
2022-05-03,62.3200,62.8900,61.6000,62.8800,3449636
2022-05-04,62.9700,63.2700,62.2900,62.3300,2525642
2022-05-05,63.4000,63.8400,60.7400,61.0000,3077742
2022-05-06,60.6800,62.4700,60.3100,62.0800,3781433
2022-05-09,61.6900,62.6300,60.5600,60.5600,2550726
2022-05-10,61.5000,62.4000,61.0500,61.1300,2562459
2022-05-11,62.2800,63.9400,62.0100,63.8600,4564813
2022-05-12,63.0000,63.8300,62.0500,63.5100,3339970
2022-05-13,63.6500,64.5600,62.9200,64.1000,3062818
2022-05-16,64.0500,64.6000,63.0400,63.5600,2472225
2022-05-17,64.0800,65.1600,63.9100,65.1400,2785107
2022-05-18,65.2000,65.8600,64.7000,64.7600,2660096
2022-05-19,64.0300,64.0300,61.9900,63.2800,3904945
2022-05-20,63.5400,65.3000,63.1400,63.3000,4037406
2022-05-23,64.6000,64.6100,63.1500,64.5600,2226726
2022-05-24,64.1200,65.0800,63.7100,63.7100,2312803
2022-05-25,64.3100,64.4800,63.2900,64.0000,2180008
2022-05-26,64.3000,65.5400,64.1500,65.2000,2741419
2022-05-27,65.5200,66.0200,64.7900,66.0200,2659850
2022-05-30,66.3300,66.7500,65.7100,66.2700,1714484
2022-05-31,66.1100,67.4200,65.6000,66.2000,8549353
2022-06-01,66.9100,67.9500,66.9100,67.3000,2800907
2022-06-02,67.1000,68.4200,67.1000,67.8000,2123752
2022-06-03,68.1900,68.3300,67.0100,67.3500,2015728
2022-06-06,67.9000,68.3600,67.3300,68.2300,1860110
2022-06-07,67.6600,68.2100,67.1900,67.7700,1824079
2022-06-08,68.0400,68.1900,67.0700,67.9500,2396213
2022-06-09,67.6600,68.2200,66.8300,66.9500,2377373
2022-06-10,66.3000,66.5500,64.7600,64.9100,3222045
2022-06-13,63.5000,63.9900,61.6800,62.1500,4698245
2022-06-14,62.4800,62.9200,61.3700,62.2900,3057644
2022-06-15,63.0000,63.9000,62.5300,63.4400,3421889
2022-06-16,63.5200,63.5300,61.3100,61.7000,3319069
2022-06-17,62.0000,62.4600,61.0300,61.9300,8659417
2022-06-20,62.1400,63.0700,61.4600,62.9800,1856646
2022-06-21,63.1400,64.7000,63.0400,64.1700,2127892
2022-06-22,63.1800,63.3700,61.7600,62.4200,3001216
2022-06-23,62.1300,62.5000,58.5800,58.5800,4503913
2022-06-24,58.9200,58.9500,56.8600,58.5600,4012939
2022-06-27,59.0000,60.4200,58.3900,59.2400,2602482
2022-06-28,59.7500,60.3900,58.8600,58.9300,2304696
2022-06-29,57.9400,58.4200,57.2200,57.6000,3125816
2022-06-30,56.4800,56.4800,54.4200,55.2200,5239689
2022-07-01,54.6600,55.6500,54.3900,55.0000,3058854
2022-07-04,55.5400,55.6000,53.0800,53.4500,2788226
2022-07-05,54.1400,54.6600,50.9500,51.0300,4302723
2022-07-06,51.3600,52.0600,50.6200,50.6200,3383302
2022-07-07,51.4000,54.2000,51.2700,53.8500,3913441
2022-07-08,53.6500,55.8700,53.0500,55.8700,3874127
2022-07-11,53.9600,55.1800,53.5700,53.5800,3197596
2022-07-12,52.9500,54.1400,52.2100,54.0000,2414937
2022-07-13,53.3300,53.4500,51.0100,51.5200,4001175
2022-07-14,51.6300,52.1800,50.1900,50.6800,3820841
2022-07-15,50.8900,53.0400,50.4000,52.8700,4988165
2022-07-18,53.3700,54.2900,52.5200,53.9700,2724224
2022-07-19,53.6200,56.6600,53.3100,56.4400,3477506
2022-07-20,56.1600,56.7700,54.4300,55.3900,2748669
2022-07-21,55.7200,55.9500,54.2200,55.0800,2404588
2022-07-22,55.0800,55.5400,54.6900,54.6900,1977983
2022-07-25,54.7200,56.1500,54.3600,55.4500,2161496
2022-07-26,55.1900,55.2000,54.0200,54.2700,2622172
2022-07-27,56.5000,56.7000,54.8800,56.2500,3433910
2022-07-28,57.2000,57.6600,55.4500,56.7400,3058351
2022-07-29,57.2900,57.7400,56.6100,57.2200,3086825
2022-08-01,57.3500,58.3500,57.1700,57.4500,2240864
2022-08-02,57.2500,57.9500,56.5200,57.8000,2267997
2022-08-03,57.2200,58.7900,56.4000,58.7300,3019430
2022-08-04,58.9000,61.0200,58.8100,59.1300,3128523
2022-08-05,59.0200,59.7500,58.7300,58.9100,2081223
2022-08-08,59.5000,60.5900,59.4500,60.4700,2157053
2022-08-09,60.4700,60.8900,59.6200,59.6300,1540043
2022-08-10,59.5000,60.8000,59.2600,60.5200,1477512
2022-08-11,60.9200,61.1200,60.0900,60.5200,1334795
2022-08-12,60.7900,61.4800,60.5900,60.9300,1661009
2022-08-15,61.0200,61.1700,59.9900,60.5600,1231335
2022-08-16,60.6500,61.4400,60.5400,61.2200,1399574
2022-08-17,61.4900,61.6600,60.0800,60.0900,1939799
2022-08-18,60.2500,60.9600,59.9800,60.3400,1451857
2022-08-19,59.9000,60.0900,57.9900,58.0900,3083542
2022-08-22,57.7000,58.0000,55.3200,55.9100,2742003
2022-08-23,55.7000,57.0900,55.5000,56.7400,2197419
2022-08-24,56.3000,56.7900,55.5600,55.8300,2228760
2022-08-25,56.2700,56.8100,55.5400,56.3100,1778662
2022-08-26,56.4100,57.0200,54.6500,55.0000,2788422
2022-08-29,54.6800,56.1800,54.2800,56.1800,1969692
2022-08-30,56.2300,57.8300,55.8000,56.7600,2416581
2022-08-31,57.4000,58.0100,56.1200,56.1200,2579501
2022-09-01,55.8000,55.8000,54.7900,55.0000,1943324
2022-09-02,55.9100,57.5800,55.5000,57.5800,3231350
2022-09-05,55.5100,55.7000,53.2300,53.6400,3874435
2022-09-06,53.6700,55.4000,53.5200,55.2400,2218159
2022-09-07,54.5100,56.3000,54.5100,56.0900,1848813
2022-09-08,56.0700,56.4600,54.0600,55.0500,2837453
2022-09-09,55.1000,56.9500,55.1000,56.3700,2197430
2022-09-12,57.0000,59.2800,56.8900,59.2800,3448989
2022-09-13,59.5000,60.0000,58.0400,58.2600,3070445
2022-09-14,57.9100,58.8700,56.9800,57.7500,2925812
2022-09-15,57.9100,58.2600,56.9900,57.5500,2127022
2022-09-16,56.9500,57.2900,55.6200,57.0200,5775034
2022-09-19,57.0500,58.0200,55.8800,57.5200,1470842
2022-09-20,57.8000,58.8000,56.8200,57.0000,1811591
2022-09-21,56.4000,57.5800,55.8900,57.3300,1367175
2022-09-22,56.1100,57.3300,55.8800,56.1000,1930789
2022-09-23,56.0100,56.0100,53.6100,53.9100,2821988
2022-09-26,53.1700,55.7100,53.0100,54.7700,2205489
2022-09-27,56.0100,56.5500,54.3900,54.5200,2423870
2022-09-28,53.6200,54.7500,53.1300,54.4400,2749282
2022-09-29,54.5500,54.7500,51.7700,52.4300,4101909
2022-09-30,52.6800,53.3700,50.9800,52.3500,3648879
2022-10-03,52.3200,53.3200,51.0800,52.9900,2511294
2022-10-04,54.1300,55.1700,53.4000,55.0000,2920928
2022-10-05,54.5100,54.5500,52.3000,53.0100,2697461
2022-10-06,53.8700,54.4200,53.1600,53.8400,2066809
2022-10-07,53.2000,53.7000,52.3700,52.6100,2278524
2022-10-10,51.8000,53.4400,51.6300,52.0500,2177491
2022-10-11,51.8500,52.8500,50.6500,52.8500,2670358
2022-10-12,52.7100,52.9300,51.7500,52.7700,1939609
2022-10-13,52.6200,54.0400,51.8500,53.6200,2368282
2022-10-14,54.5200,54.8500,53.2800,53.8600,2157075
