,open,high,low,close,volume
2021-12-21,2841.0700,2877.3800,2810.0500,2869.4500,1437768
2021-12-22,2861.3500,2930.0000,2861.3500,2928.3000,1316119
2021-12-23,2930.0000,2964.8700,2929.0400,2938.3300,1319172
2021-12-27,2945.1200,2966.8799,2943.3850,2958.1300,799223
2021-12-28,2964.7200,2965.9801,2921.0856,2933.7400,912715
2021-12-29,2932.8857,2948.3400,2912.9500,2933.1000,889373
2021-12-30,2933.8800,2946.0000,2919.8900,2924.0100,784386
2021-12-31,2921.0000,2933.9700,2897.0400,2897.0400,879717
2022-01-03,2901.1000,2917.0200,2874.2550,2899.8300,1433947
2022-01-04,2907.9200,2929.6978,2874.3250,2887.9900,1419972
2022-01-05,2888.4000,2889.9875,2753.7600,2755.5000,2730914
2022-01-06,2739.9700,2798.8000,2731.1700,2754.9500,1867371
2022-01-07,2762.9100,2768.9700,2715.3300,2740.3400,1488028
2022-01-10,2701.5600,2776.3900,2663.2900,2773.3900,2220406
2022-01-11,2760.1400,2804.3200,2733.8450,2794.7200,1212802
2022-01-12,2823.0000,2852.1550,2813.8900,2828.6100,1305602
2022-01-13,2830.8000,2857.0000,2768.1800,2771.7400,1571830
2022-01-14,2741.5800,2814.8400,2739.9700,2789.6100,1483064
2022-01-18,2723.5000,2742.6300,2708.7650,2719.9600,1722349
2022-01-19,2730.4700,2759.1900,2700.3100,2702.3300,1400853
2022-01-20,2725.0000,2752.5200,2659.2931,2666.1500,1495357
2022-01-21,2651.8700,2697.3106,2601.7300,2607.0300,2782571
2022-01-24,2519.5600,2624.0600,2490.0000,2616.0800,3834712
2022-01-25,2574.8000,2587.9800,2530.0100,2538.7000,2348028
2022-01-26,2622.3800,2660.0000,2542.8400,2584.6600,2456475
2022-01-27,2626.0800,2653.0450,2578.6458,2580.1000,1600939
2022-01-28,2593.1800,2667.1300,2569.7000,2667.0200,1718074
2022-01-31,2683.2399,2709.4600,2644.1900,2706.0700,1999300
2022-02-01,2751.8900,2755.8550,2687.3700,2752.8800,3432182
2022-02-02,3025.0000,3030.9315,2910.4501,2960.0000,6159961
2022-02-03,2914.1100,2993.5000,2853.3063,2861.8000,3575861
2022-02-04,2868.8927,2897.5000,2810.3000,2865.8600,2899911
2022-02-07,2885.0000,2885.0000,2778.0000,2784.0200,2748665
2022-02-08,2780.5300,2800.0000,2740.2770,2787.9800,2714180
2022-02-09,2819.2700,2850.4850,2803.7406,2831.8400,2007194
2022-02-10,2794.0700,2829.6900,2759.1400,2772.4000,1966533
2022-02-11,2772.0000,2783.1250,2668.0000,2685.6500,1997917
2022-02-14,2665.1300,2726.0000,2665.1300,2710.5200,1715054
2022-02-15,2751.4100,2762.1700,2716.4300,2732.1700,1335563
2022-02-16,2732.9300,2761.7200,2698.4750,2754.7600,1251065
2022-02-17,2724.8600,2742.2699,2649.5700,2650.7800,1947475
2022-02-18,2669.3400,2681.3999,2603.9300,2608.0600,2280972
